"GME.Open","GME.High","GME.Low","GME.Close","GME.Volume","GME.Adjusted"
11.36,11.55,11,11.01,3535900,11.01
11.16,12.66,10.72,12.06,9774800,12.06
11.65,11.92,11.23,11.63,6678200,11.63
11.8,12.04,11.56,11.57,3169200,11.57
11.6,12.79,11.45,12.46,11787600,12.46
12.55,13.46,12.54,12.71,8395400,12.71
12.9,14.12,12.67,13.9,9599100,13.9
14.23,14.26,13.3,13.67,7183200,13.67
13.6,15.25,13.42,14.75,8860100,14.75
15.29,16.74,14.88,16.08,12504200,16.08
18.17,19.42,16.559999,16.559999,31983500,16.559999
17.110001,17.4,15.76,15.8,12666000,15.8
15.7,16.68,15.38,16.58,7883400,16.58
16.48,16.639999,15.87,16.120001,6295000,16.120001
16.299999,17.290001,16.26,16.9,8972700,16.9
17,17.5,16.219999,16.35,7386300,16.35
16.370001,17.209999,15.93,16.940001,16120200,16.940001
13.92,14.73,13.23,13.66,24357900,13.66
13.12,14.41,13.05,14.12,7558900,14.12
13.91,14,13.02,13.31,7496900,13.31
13.34,13.43,12.14,12.72,10007100,12.72
12.78,14.02,12.48,13.85,8192900,13.85
13.96,14.31,13.58,13.85,5865100,13.85
13.96,14.98,13.59,14.83,8194900,14.83
15.78,16.299999,15.18,15.63,16618800,15.63
15.81,16.35,15.28,15.53,9876100,15.53
16.219999,20.040001,16.15,19.459999,30652700,19.459999
20.17,22.35,19.129999,20.57,25830300,20.57
21.01,21.48,19.950001,20.15,6262200,20.15
21.309999,21.969999,20.35,20.99,8965900,20.99
20.82,21.07,18.559999,19.379999,9241400,19.379999
19.379999,20,18.85,19.26,5934400,19.26
19.25,19.799999,18.799999,18.84,6922700,18.84
19,19.1,17.15,17.25,10022500,17.25
17.35,18.08,17.23,17.370001,4961500,17.370001
17.34,18.98,17.33,18.360001,6056200,18.360001
18.469999,19.450001,18.02,18.08,6129300,18.08
18.18,18.299999,17.08,17.690001,6482000,17.690001
19.41,20.65,19.01,19.940001,14927600,19.940001
19.959999,20.4,19.32,19.950001,7060700,19.950001
20.42,38.650002,20.030001,31.4,144501700,31.4
38.09,43.060001,33.049999,39.91,93717400,39.91
38.490002,40.75,34.009998,35.5,46866400,35.5
41.549999,45.52,36.639999,39.360001,74721900,39.360001
37.369999,41.189999,36.060001,39.119999,33471800,39.119999
39.23,44.75,37,43.029999,57079800,43.029999
42.59,76.760002,42.32,65.010002,197157900,65.010002
96.730003,159.179993,61.130001,76.790001,177874000,76.790001
88.559998,150,80.199997,147.979996,178588000,147.979996
354.829987,380,249,347.51001,93396700,347.51001
265,483,112.25,193.600006,58815800,193.600006
379.709991,413.980011,250,325,50259200,325
316.559998,322,212,225,37382200,225
140.759995,158,74.220001,90,78183100,90
112.010002,113.400002,85.25,92.410004,42698500,92.410004
91.190002,91.5,53.330002,53.5,62427300,53.5
54.040001,95,51.09,63.77,80886300,63.77
72.410004,72.660004,58.02,60,25687300,60
56.610001,57,46.52,50.310001,26843100,50.310001
50.77,62.830002,46.549999,51.200001,36455000,51.200001
50.009998,55.32,48.220001,51.099998,12997400,51.099998
50.75,55.240002,48.049999,52.400002,14498000,52.400002
52.66,53.5,49.040001,49.509998,8175000,49.509998
49.77,51.189999,44.560001,45.939999,9186800,45.939999
48.490002,48.869999,40.650002,40.689999,23990600,40.689999
41.279999,43.889999,38.5,40.59,14828200,40.59
46.689999,48.509998,42.400002,46,19476000,46
44.970001,46.23,40,44.970001,7565200,44.970001
44.700001,91.709999,44.700001,91.709999,83111700,91.709999
169.559998,184.679993,101,108.730003,150308800,108.730003
117.459999,142.899994,86,101.739998,91963000,101.739998
104.540001,133.990005,99.970001,120.400002,49597300,120.400002
116.93,133.199997,112.199997,118.18,33640400,118.18
122.510002,127.75,113.120003,124.18,19173700,124.18
125,147.869995,115.300003,132.350006,32473600,132.350006
128.169998,151.529999,127.5,137.740005,30660200,137.740005
154.889999,210.869995,146.100006,194.5,63424800,194.5
217.710007,249.850006,208.509995,246.899994,38725800,246.899994
269.429993,348.5,172,265,71361900,265
241.639999,281.5,232.600006,260,28186000,260
275,295.5,262.269989,264.5,25760700,264.5
277.519989,283,206,220.139999,24100400,220.139999
203.160004,220.699997,172.350006,208.169998,35241900,208.169998
217.839996,231.470001,204,209.809998,16259300,209.809998
214,218.880005,195.649994,201.75,11764900,201.75
195.729996,227,182.660004,200.270004,24552100,200.270004
205.259995,210.360001,186.199997,194.490005,10061500,194.490005
197.5,201.75,177.550003,181.75,14429100,181.75
157.979996,166.970001,118.620003,120.339996,24177900,120.339996
123.489998,187.5,116.900002,183.75,50962300,183.75
197.679993,218.929993,163.259995,181,37371900,181
180.75,193.919998,173.509995,181.300003,10042200,181.300003
187.5,204.300003,182,194.460007,17094900,194.460007
197.5,199.460007,187.110001,189.820007,8393800,189.820007
193.360001,196.970001,183.600006,191.449997,9334300,191.449997
171,195,164.809998,186.949997,14070500,186.949997
185.210007,192,183.559998,184.5,6218300,184.5
183.220001,184.5,176.110001,177.970001,4768300,177.970001
185.880005,185.880005,164.300003,170.259995,10047400,170.259995
169.699997,171.580002,153,158.360001,9442000,158.360001
158.110001,163.899994,135.009995,141.089996,16683600,141.089996
141.880005,145.380005,132,140.990005,6806900,140.990005
143.570007,174.089996,143,166.529999,21138100,166.529999
163,166.25,152.800003,156.440002,7856800,156.440002
156,160.199997,151.25,154.690002,5139700,154.690002
171.800003,175.199997,162.330002,164.369995,10520200,164.369995
164.139999,164.889999,153.360001,158.529999,4658600,158.529999
158.399994,162.979996,155.919998,158.509995,3812800,158.509995
159.100006,159.100006,146.860001,151.169998,4345800,151.169998
149,153.660004,144.699997,151.179993,4029100,151.179993
